TimeStep,Whales,Seals,Cod,Whiting,Mackerel,Anchovy,Shrimp,Benthos,Zooplankton,Phytoplankton,Detritus
102,0.09643681,0.06330469,3.475392,1.554589,0.6881917,5.907134,0.8390853,26.6866,7.12887,4.899164,6.336681
103,0.09649868,0.0634981,3.47428,1.556304,0.685049,5.783651,0.8385613,25.25974,4.626155,11.78422,4.907602
104,0.09657474,0.06371653,3.476997,1.559196,0.6781852,5.483278,0.8453722,22.94109,7.203189,18.48504,6.743222
105,0.09666605,0.06394856,3.483625,1.562096,0.6737035,5.205906,0.8568737,21.21009,14.61134,19.226,10.91096
106,0.09675131,0.06415147,3.488751,1.562575,0.6764527,5.191043,0.8617194,21.37553,17.59669,24.12558,13.18997
107,0.09682262,0.06430661,3.488552,1.560972,0.6829295,5.358593,0.8543426,23.31566,19.75911,6.39973,15.84201
108,0.09688101,0.06443883,3.484326,1.558836,0.6916589,5.646276,0.84123,25.71943,15.04223,2.651087,10.84095
109,0.09693608,0.06458583,3.479314,1.557895,0.6962099,5.80604,0.832556,26.38192,8.12703,4.435757,6.650952
110,0.09699933,0.06476391,3.477009,1.558743,0.6937026,5.70161,0.8326204,25.01162,4.982932,11.69209,4.976172
111,0.09707172,0.06495864,3.477373,1.560153,0.6869631,5.425735,0.8377899,22.7781,7.063368,19.8939,6.729139
112,0.09715586,0.06515507,3.479968,1.561388,0.6820201,5.162022,0.8444238,21.2409,14.50075,17.97818,11.26324
113,0.09723651,0.06533212,3.482153,1.560732,0.684578,5.148148,0.8474385,21.46072,17.89168,21.04435,13.02405
114,0.09730446,0.0654679,3.479936,1.558353,0.691352,5.322219,0.8408704,23.2157,19.16418,10.52614,14.83022
115,0.09735965,0.06557958,3.473821,1.555472,0.6995884,5.594044,0.8288307,25.47129,16.50348,3.74845,12.06425
116,0.09740973,0.06570048,3.466956,1.55359,0.7054083,5.797932,0.8197488,26.55923,10.23639,5.236136,7.851536
117,0.09746794,0.06585148,3.462546,1.553923,0.7050781,5.771475,0.818849,25.81248,6.949574,10.63739,6.111115
118,0.09753454,0.06602598,3.461215,1.555257,0.7003556,5.576355,0.8243738,24.07577,8.632529,17.2881,7.303034
119,0.09761014,0.06620543,3.462029,1.556543,0.6966169,5.379486,0.8318136,22.74886,14.79037,15.66786,10.92523
120,0.09768704,0.06637294,3.463269,1.556855,0.6993463,5.379296,0.8373582,22.77964,17.43344,16.22365,12.34081
121,0.0977542,0.06651033,3.461334,1.555601,0.7055145,5.530196,0.8364125,23.92858,18.80002,9.781116,13.3745
122,0.09780968,0.06662251,3.45592,1.553527,0.7130004,5.774138,0.829843,25.51973,15.76692,3.724642,11.32617
